AMPLASAMENT,NR. LOCURI,LOCALIZARE AMPLASAMENT,ORAS, PRET 
CANDIANO POPESCU,475,INTRE PTA. LIBERTATII SI CALEA SERBAN VODA,București, 2.50 lei 
CEC BANCOREX,20,"STR. MIHAI VODA, INTRE CALEA VICTORIEI SI STR. ILFOV",București, 5.00 lei 
CEC JUDECATORIE,60,"STR. ILFOV, INTRE SPLAI INDEP. SI STR. MIHAI VODA",București, 5.00 lei 
CEC MARCONI,30,"STR. MARCONI, INTRE C.VICTORIEI SI STR. ILFOV",București, 5.00 lei 
CHIRISTIGIILOR,138,"STR. CHIRISTIGIILOR, CF. AVIZ CTC NR. 11987/05.08.2010",București, 2.50 lei 
CHRISTIAN TELL,21,INTRE STR. BISERICA AMZEI SI PIATA AMZEI,București, 5.00 lei 
CINA,126,INTRE STR. C.A. ROSETTI SI STR. B. FRANKLIN,București, 5.00 lei 
CINA 2,72,INTRE STR. B. FRANKLIN SI STR. EPISCOPIEI,București, 5.00 lei 
CLOPOTARII VECHI,35,INTRE STR. GRIGORE ALEXANDRESCU SI BD. IANCU DE HUNEDOARA,București, 5.00 lei 
CONSERVATOR – UNESCO,54,STR. STIRBEI VODA,București, 5.00 lei 
CONSTANTIN MILLE,84,INTRE CALEA VICTORIEI SI STR. I. BREZOIANU,București, 5.00 lei 
CONSTANTIN NACU,33,INTRE PTA. ITALIANA SI BD. CAROL I,București, 5.00 lei 
CRANGASI,92,PTA. CRANGASI,București, 2.50 lei 
CRETULESCU,36,ALEEA DE LANGA BISERICA CRETULESCU,București, 5.00 lei 
DACIA 2,40,BD. DACIA,București, 5.00 lei 
DACIA MONTEORU,21,BD. DACIA X CALEA VICTORIEI,București, 5.00 lei 
DANIELOPOL,69,INTRE SPLAIUL INDEPENDENTEI SI STR. POENARU BORDEA,București, 5.00 lei 
DECEBAL 1,64,CALEA MOSILOR (PTA. DECEBAL),București, 10.00 lei 
DECEBAL 2,44,CALEA MOSILOR (PTA. DECEBAL),București, 10.00 lei 
DECEBAL 3,53,CALEA MOSILOR (PTA. DECEBAL),București, 10.00 lei 
